reference,doi,title,year,type,journal,authors
hal-02014049,10.1080/03605302.2019.1658773,Free boundary regularity for a multiphase shape optimization problem,2020,Article,Communications in Partial Differential Equations,Luca Spolaor; Baptiste Trey; Bozhidar Velichkov
hal-02014052,10.2140/apde.2020.13.741,Regularity of the free boundary for the vectorial Bernoulli problem,2020,Article,Analysis & PDE,Dario Mazzoleni; Susanna Terracini; Bozhidar Velichkov
hal-02014064,10.1002/cpa.21859,Direct epiperimetric inequalities for the thin obstacle problem and applications,2020,Article,Communications on Pure and Applied Mathematics,Maria Colombo; Luca Spolaor; Bozhidar Velichkov
hal-02015121,10.1007/978-3-030-79827-7_9,Advanced technologies for future materials and devices,2022,Chapitre d'ouvrage,,Francis Balestra
halshs-02015320,10.1177/0952076718822714,"The process of transfer: The micro-influences of power, time and learning",2020,Article,Public Policy and Administration,David Peter Dolowitz; Rodica Plugaru; Sabine Saurugger
hal-02017778,10.4000/books.ugaeditions.32688,Poésie et astronomie : de l’Antiquité au romantisme,2020,Ouvrage,,Caroline Bertonèche; Florian Barrière
hal-02018587,10.1007/s11005-019-01215-6,On Fermionic walkers interacting with a correlated structured environment,2020,Article,Letters in Mathematical Physics,Renaud Raquépas
hal-01692544,10.1007/s10687-019-00370-2,Asymptotic behavior of the extrapolation error associated with the estimation of extreme quantiles,2020,Article,Extremes,Clément Albert; Anne Dutfoy; Stéphane Girard
hal-02018900,10.2143/lea.249.0.3288094,"Jeux de mains, jeux de vilains. De l’intuition pure en mathématiques",2020,Article,Logique et Analyse,Denis Vernant
hal-02020181,10.1090/tran/8344,INVARIANT WEAKLY CONVEX COCOMPACT SUBSPACES FOR SURFACE GROUPS IN A 2-BUILDINGS,2022,Article,Transactions of the American Mathematical Society,Anne Parreau
hal-02020414,10.1515/ijsl-2019-2065,From linguistics to litigation,2020,Article,International Journal of the Sociology of Language,François Viangalli
hal-01568431,10.1016/j.jmaa.2021.125479,"Homogeneous Dirichlet wavelets on the interval diagonalizing the derivative operator, and related applications",2022,Article,Journal of Mathematical Analysis and Applications,Souleymane Kadri Harouna; Valérie Perrier
hal-02021279,10.1038/s41467-019-08359-y,Higher energy and safer sodium ion batteries via an electrochemically made disordered Na3V2(PO4)2F3 material,2019,Article,Nature Communications,Guochun Yan; Sathiya Mariyappan; Gwenaëlle Rousse; Quentin Jacquet; Michael Deschamps; Rénald David et al.
hal-02017091,10.1007/s40799-019-00312-4,Strain Gauges Based 3D Shape Monitoring of Beam Structures Using Finite Width Gauge Model,2019,Article,Experimental Techniques,Pierre-Loup Schaefer; Guilhaume Barrier; Grégory Chagnon; Thierry Alonso; Alexandre Moreau-Gaudry
hal-02023123,10.1504/ijesb.2020.109433,Antecedents of well-being for artisan entrepreneurship: A first exploratory study,2020,Article,International Journal of Entrepreneurship and Small Business,Severine Le Loarne; Judith Partouche-Sebban; Mariem Razgallah; Adnane Maalaoui
hal-02023962,10.1017/s0305000919000837,Long-term effects of cochlear implantation on the intelligibility of speech in French-speaking children,2020,Article,Journal of Child Language,Bénédicte Grandon; Marie-José Martinez; Adeline Samson; Anne Vilain
halshs-02026004,10.4000/crcv.21400,La matière et l’image de l’histoire : le livre illustré dans le sillage du musée historique de Versailles,2021,Article,Bulletin du Centre de recherche du château de Versailles,Margot Renard
hal-02028531,10.1002/9781119568124.ch2,Putting individual motivations into the societal context: The influence of social stereotypes in the physical activity domain,2020,Chapitre d'ouvrage,,Aïna Chalabaev; Philippe Sarrazin
hal-02043321,10.1007/978-3-030-44101-2_10,On a Bloch-type model with electron-phonon interactions: modeling and numerical simulations,2020,Communication,,Brigitte Bidégaray-Fesquet; Clément Jourdana; Kole Keita
hal-02043536,10.30757/alea.v18-21,Emergence of homogamy in a two-loci stochastic population model,2021,Article,ALEA : Latin American Journal of Probability and Mathematical Statistics,Camille Coron; Manon Costa; Fabien Laroche; Hélène Leman; Charline Smadi
hal-02044240,10.1093/imamci/dny047,On the boundary controllability of the Korteweg–de Vries equation on a star-shaped network,2020,Article,IMA Journal of Mathematical Control and Information,Eduardo Cerpa; Emmanuelle Crépeau; Claudia Moreno
hal-02048633,10.1007/978-3-319-93728-1_50,Glasses and glass-ceramics for solid-state battery applications- Chapter 50,2019,Chapitre d'ouvrage,,Virginie Viallet; Vincent Seznec; Akitochi Hayashi; Masahiro Tatsumisago; Annie Pradel
hal-02051121,10.1021/acsomega.8b02748,"Electrochemical Evaluation of Pb, Ag, and Zn Cyanamides/Carbodiimides",2019,Article,ACS Omega,Jeethu Arayamparambil; Markus Mann; Xiaohui Liu; Maria Alfredsson; Richard Dronskowski; Lorenzo Stievano et al.
