code,acronym,title,year,amount_eur,duration_months,program,coordinator
ANR-23-PECL-0002,Archi-CESAM,"Architecture Convergée, Efficace et Sûre à base d’Accélérateurs proches de la Mémoire",2023,,,PIA ANR,CEA Paris
ANR-23-PAVH-0004,AUVI,Ancrer/instituer l'autonomie de vie comme droit humain,2023,,,PIA ANR,CNRS Rhône Auvergne (Villeurbanne)
ANR-23-EXMA-0008,IMOCEP,Innovations en modélisation de la croissance : de la cellule au développement pédiatrique,2023,,,PIA ANR,Université Grenoble Alpes
ANR-23-CMAS-0022,FAME (CMA),Formations et Attractivité des Métiers de l'Electronique,2023,,,PIA ANR,Université Grenoble Alpes
ANR-23-CMAS-0006,EID@Lyon,Transdisciplinary Graduate School in Emerging Infectious Diseases,2023,,,PIA ANR,Université de Lyon I (Claude Bernard)
PHRCI-2023-NIEMBUT-BD9,,Évaluation de la non infériorité de lembolisation par gélatine résorbable par rapport à lembolisation associée à laspiration endo-utérine pour la prise en charge des anomalies vasculaires utérines hémorragiques dans les suites dun arrêt de grossesse prématuré,2023,,,SIRANo,CHU GRENOBLE ALPES
PHRCI-2023-EPISOMA-F6E,,Apport dune approche génétique et épigénétique somatique pour les épilepsies focales pharmacorésistantes: optimisation du diagnostic pour les dysplasies corticales focales de type 2 (FCD2),2023,,,SIRANo,CHU GRENOBLE ALPES
101136765,Unite.WIDENING,Raise excellence in R&S&I in HEI for widening countries,2023,80844,,Horizon Europe,
101134989,SOLSTICE,Innovative 5R SOLutionS for Textile Integrated Circular Economy,2023,711250,,Horizon Europe,
101155958,MOUNTADAPT,Adaptation solutions to reduce climate change impact on health in the Mountain area,2023,462516,,Horizon Europe,
ANR-23-CE44-0022,RECOM,"La compétition des ARNs pour la RNase E, un mécanisme régulant leur dégradation et le métabolisme de l'énergie et du carbone dans la cellule",2023,,,ANR,Toulouse Biotechnology Institute
ANR-23-CE23-0012,BONSAI,Optimization bi-niveau pour l'inférence à base de simulations,2023,,,ANR,Centre Inria de l’Université Grenoble Alpes
ANR-23-CE23-0010,GraphRec,GraphRec: Programmation récursive efficace et passant à l'échelle pour les graphes,2023,,,ANR,Centre Inria de l’Université Grenoble Alpes
101149195,SuspenseStory,Flow-induced anisotropic mechanical response of dense suspensions,2023,,,Horizon Europe,
101139785,SOIL,Solidify the European FDSOI Ecosystem Accelerating its Industrial Deployment,2023,2536,,Horizon Europe,
101161251,DESIRE4EU,DESIgning and REcycling sustainable Electronic boards for a EUropean circular economy,2023,258458,,Horizon Europe,
101160687,PROSECCO,"DC Protection, Security, Control and Optimisation",2023,70050,,Horizon Europe,
101131261,IRISCC,Integrated Research Infrastructure Services for Climate Change risks,2023,15313,,Horizon Europe,
101135301,SCARBOn,SCARBO next step - Space CARBon Observatory's solution to improve monitoring of GHG emissions and help establishing reliable data for emission trends forecasts,2023,560963,,Horizon Europe,
101149263,REALOPT4CONTROL,REAL-TIME OPTIMISATION SOLUTIONS FOR EMBEDDED NONLINEAR MODEL PREDICTIVE CONTROL APPLICATIONS USING THE LPV FRAMEWORK,2023,278984,,Horizon Europe,
101135787,RAVEN,Revolutionary Accuracy in waVeguide- and photoacoustic-ENabled atmospheric sensors (RAVEN),2023,33675,,Horizon Europe,
101161135,MAGCCINE,Clean and efficient cooling in vaccine transportation using Rotating Magnetocaloric Effect,2023,26820,,Horizon Europe,
101168287,AUREUS,wAll teichoic acids as immUnogenic and conseRved altErnative targets for therapies versUs S. aureus,2023,565387,,Horizon Europe,
ANR-23-PEXF-0001,CLIM-FAS,CLimate change Mitigation potential of the French Agricultural Sector,2023,,,PIA ANR,INRAE Centre Ile-de-France - Versailles-Saclay
ANR-23-PEXD-0003,AMADEUS (PEXD),Automated and machine learning driven design and discovery of high entropy ceramics perovskite oxides for energy applications,2023,,,PIA ANR,CNRS Centre Poitou Charentes (Orléans)
ANR-23-PEMO-0002,FORBAC,"FORecasting Impacts of Mobility, BACkcasting Optimal Decisions",2023,,,PIA ANR,IFP Energies Nouvelles
ANR-23-PECL-0007,STEEL,Stockage et Traitement Efficace et sEcurisé des données sur des infrastructures à base de cLoud,2023,,,PIA ANR,INRIA siège
ANR-23-IACL-0006,MIAI Cluster,MIAI Cluster,2023,,,PIA ANR,Université Grenoble Alpes
ANR-23-CMAS-0035,PFDS,Programme de formation aux données de la santé,2023,,,PIA ANR,Université Grenoble Alpes
PREPS-2023-MONITORS-D93,,Étude de l'impact d'une stratégie diagnostique guidée par une checklist dans le syndrome de détresse respiratoire aiguë ,2023,,,SIRANo,CHU GRENOBLE ALPES
bpi-xperle,XPERLE,XPERLE,2023,,,PIA hors ANR,Université Sorbonne Paris Nord
101168951,ARMADA,Reliable Conversational Domain-specific Data Exploration and Analysis,2023,,,Horizon Europe,
101142154,CRACK THE ROCK,Revealing the mechanics of sub-critical rock cracking of mountains cliffs from environmental forcings by imaging stress cycles from dense acoustic arrays,2023,101588,,Horizon Europe,
101169056,MENTOR,Indoor photovoltaics: towards an energy- and climate-neutral world,2023,,,Horizon Europe,
101142533,Energion,Energy production and storage using biological ion transport systems,2023,2858020,,Horizon Europe,
101131822,INFRACHIP,European Research Infrastructure on Semiconductor Chips,2023,34375,,Horizon Europe,
101178241,ARISE2,Career Accelerator for Research Infrastructure Scientists 2nd generation,2023,,,Horizon Europe,
101135546,MaMMoS,MAgnetic Multiscale MOdelling Suite,2023,53640,,Horizon Europe,
101137583,HYLENA,HYdrogen eLectrical Engine Novel Architecture,2023,130690,,Horizon Europe,
ANR-23-CE56-0006,MOTIONS,Simulations océaniques multi-échelles basées sur une stratégie de raffinement de maillage avec adaptation locale de la dynamique et de la physique,2023,,,ANR,Centre Inria de l’Université Grenoble Alpes
ANR-23-PESA-0003,FoodXPtools,Developing experimental platforms for observing food behaviours in real-life settings,2023,,,PIA ANR,AgroParisTech - CAMPUS AGRO PARIS SACLAY
